simMode,seed,firstFullCoverageStep,finalCoverageRatio,maxCellAge,avgCellAge,meanRevisitInterval,totalSteps,revisitRatio,workloadBalance,targetConflictCount
PatrolOnly,12640,34,1.0000,35,10.1893,5.0140,100,0.9900,0.0000,0
PatrolOnly,12641,39,1.0000,37,8.2718,4.5723,100,0.9933,0.0000,0
PatrolOnly,12642,35,1.0000,34,8.3495,4.7110,100,0.9900,0.0000,0
PatrolOnly,12643,34,1.0000,28,7.2718,4.4796,100,0.9900,0.0000,0
PatrolOnly,12644,39,1.0000,39,8.3884,5.0293,100,0.9900,0.0000,0
PatrolOnly,12645,36,1.0000,27,8.7427,4.5191,100,0.9900,0.0000,0
PatrolOnly,12646,32,1.0000,30,8.7573,4.9283,100,0.9900,0.0000,0
PatrolOnly,12647,37,1.0000,42,14.3738,5.5658,100,0.9900,0.0000,0
PatrolOnly,12648,35,1.0000,44,7.7476,4.3374,100,0.9900,0.0000,0
PatrolOnly,12649,36,1.0000,41,8.9903,4.3532,100,0.9933,0.0000,0
PatrolOnly,12650,41,1.0000,28,7.3738,4.5613,100,0.9900,0.0000,0
PatrolOnly,12651,34,1.0000,37,6.3350,4.3311,100,0.9933,0.0000,0
